School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,In State Tuition,Out of State Tuition
Sacred Heart University,Northeastern,"$46,000.00 ","$75,300.00 ","$39,700.00 ","$54,800.00 ","$105,000.00 ","$150,000.00 ",,
Skidmore College,Northeastern,"$41,600.00 ","$74,600.00 ",N/A,"$42,800.00 ","$147,000.00 ",N/A,,
Moravian College,Northeastern,"$42,500.00 ","$74,400.00 ",N/A,"$56,700.00 ","$94,900.00 ",N/A,,
Penn State - Harrisburg,Northeastern,"$45,700.00 ","$74,000.00 ","$44,000.00 ","$53,100.00 ","$104,000.00 ","$150,000.00 ",,
Suffolk University,Northeastern,"$42,100.00 ","$74,000.00 ","$48,700.00 ","$57,800.00 ","$95,100.00 ","$145,000.00 ",,
Fitchburg State College,Northeastern,"$42,400.00 ","$72,600.00 ","$43,300.00 ","$56,100.00 ","$99,600.00 ","$151,000.00 ",,
Roger Williams University,Northeastern,"$42,000.00 ","$72,300.00 ","$39,800.00 ","$48,500.00 ","$102,000.00 ","$138,000.00 ",,
University Of Maine,Northeastern,"$41,200.00 ","$72,100.00 ","$41,700.00 ","$55,600.00 ","$99,300.00 ","$141,000.00 ",,
State University of New York (SUNY) at Potsdam,Northeastern,"$38,000.00 ","$70,300.00 ","$35,100.00 ","$51,200.00 ","$100,000.00 ","$179,000.00 ",,
Niagara University,Northeastern,"$36,900.00 ","$69,700.00 ","$44,000.00 ","$57,000.00 ","$92,000.00 ","$128,000.00 ",,
State University of New York (SUNY) at Fredonia,Northeastern,"$37,800.00 ","$66,200.00 ","$32,800.00 ","$44,200.00 ","$93,300.00 ","$181,000.00 ",,
University of Southern Maine,Northeastern,"$39,400.00 ","$63,600.00 ","$40,400.00 ","$47,900.00 ","$85,700.00 ","$117,000.00 ",,
Mercy College,Northeastern,"$43,700.00 ","$62,600.00 ","$35,600.00 ","$47,300.00 ","$99,000.00 ","$134,000.00 ",,
